sample_idx,assay_id,prob,label
0,Assay_31,0.08386,1
0,Assay_32,0.03378,0
0,Assay_33,0.5835,1
0,Assay_34,0.04468,0
0,Assay_35,0.05167,0
0,Assay_150,0.04492,0
0,Assay_161,0.2307,1
0,Assay_173,0.266,0
1,Assay_33,0.901,0
1,Assay_34,0.6714,0
1,Assay_35,0.7754,1
1,Assay_43,0.03522,0
1,Assay_44,0.0456,0
1,Assay_157,0.702,1
1,Assay_179,0.0387,0
1,Assay_209,0.01192,0
2,Assay_53,0.001579,0
2,Assay_54,0.001574,0
2,Assay_55,0.001549,0
2,Assay_56,0.001444,0
2,Assay_57,0.001623,0
2,Assay_58,0.002068,0
2,Assay_60,0.001623,0
2,Assay_61,0.001636,0
2,Assay_62,0.001597,0
2,Assay_63,0.001789,0
2,Assay_64,0.001629,0
2,Assay_65,0.001611,0
2,Assay_66,0.001687,0
2,Assay_67,0.001444,0
2,Assay_69,0.001883,0
2,Assay_70,0.001549,0
2,Assay_71,0.001525,0
2,Assay_72,0.001549,0
2,Assay_75,0.001839,0
2,Assay_77,0.001668,0
2,Assay_78,0.001714,0
2,Assay_79,0.00172,0
2,Assay_80,0.001649,0
2,Assay_81,0.001629,0
2,Assay_82,0.00181,0
2,Assay_83,0.001681,0
2,Assay_84,0.001629,0
2,Assay_86,0.001513,0
2,Assay_87,0.001585,0
2,Assay_89,0.00198,0
2,Assay_90,0.00172,0
2,Assay_91,0.001687,0
2,Assay_92,0.001543,0
2,Assay_93,0.001597,0
2,Assay_96,0.001789,0
2,Assay_97,0.001734,0
2,Assay_98,0.001727,0
2,Assay_100,0.001681,0
2,Assay_101,0.001585,0
2,Assay_102,0.001694,0
2,Assay_104,0.001789,0
2,Assay_105,0.001543,0
2,Assay_107,0.001748,0
2,Assay_108,0.001461,0
2,Assay_109,0.001748,0
2,Assay_110,0.001714,0
2,Assay_112,0.001655,0
2,Assay_113,0.001507,0
2,Assay_115,0.001478,0
3,Assay_168,0.09485,0
3,Assay_171,0.2153,1
3,Assay_176,0.9233,1
3,Assay_180,0.9775,1
3,Assay_183,0.8354,1
3,Assay_191,0.996,1
3,Assay_192,0.995,1
3,Assay_193,0.654,1
3,Assay_205,0.611,1
4,Assay_31,0.2375,0
4,Assay_32,0.662,0
4,Assay_33,0.9375,0
4,Assay_34,0.748,0
4,Assay_35,0.645,0
4,Assay_43,0.0494,0
4,Assay_44,0.02954,0
4,Assay_52,0.00461,0
4,Assay_53,0.00404,0
4,Assay_54,0.004868,0
4,Assay_55,0.003765,0
4,Assay_57,0.0058,0
4,Assay_58,0.00726,0
4,Assay_59,0.0039,0
4,Assay_60,0.00435,0
4,Assay_61,0.004772,0
4,Assay_62,0.0042,0
4,Assay_63,0.005707,0
4,Assay_64,0.00404,0
4,Assay_65,0.004574,0
4,Assay_66,0.0044,0
4,Assay_67,0.003483,0
4,Assay_68,0.004215,0
4,Assay_69,0.006565,0
4,Assay_70,0.00393,0
4,Assay_71,0.00485,0
4,Assay_73,0.002705,0
4,Assay_74,0.01065,0
4,Assay_75,0.005363,0
4,Assay_76,0.004944,0
4,Assay_77,0.00483,0
4,Assay_78,0.005447,0
4,Assay_79,0.004982,0
4,Assay_81,0.00481,0
4,Assay_82,0.007404,0
4,Assay_83,0.004135,0
4,Assay_84,0.004215,0
4,Assay_85,0.00485,0
4,Assay_86,0.004433,0
4,Assay_87,0.004364,0
4,Assay_89,0.007694,0
4,Assay_90,0.00549,0
4,Assay_91,0.0051,0
4,Assay_93,0.00598,0
4,Assay_94,0.007122,0
4,Assay_95,0.004383,0
4,Assay_98,0.005688,0
4,Assay_99,0.004505,0
4,Assay_100,0.00518,0
4,Assay_101,0.004314,0
4,Assay_102,0.004646,0
4,Assay_103,0.003376,0
4,Assay_104,0.005535,0
4,Assay_105,0.004086,0
4,Assay_106,0.005386,0
4,Assay_107,0.004772,0
4,Assay_108,0.003511,0
4,Assay_109,0.00624,0
4,Assay_111,0.003885,0
4,Assay_112,0.00479,0
4,Assay_113,0.00378,0
4,Assay_114,0.003944,0
4,Assay_115,0.004055,0
4,Assay_152,0.2612,0
4,Assay_155,0.629,0
4,Assay_173,0.806,0
4,Assay_182,0.02542,0
4,Assay_194,0.0327,0
5,Assay_199,0.2195,0
