assay_id,median_auroc,median_auroc_filled
1_1,0.7595238095238095,0.7595238095238095
10_19,0.7142857142857143,0.7142857142857143
10_20,0.5096153846153846,0.5096153846153846
100_277,0.8,0.8
100_278,0.8333333333333334,0.8333333333333334
104_291,0.7846153846153846,0.7846153846153846
105_355,0.8901098901098902,0.8901098901098902
105_369,0.5625,0.5625
105_361,0.8571428571428572,0.8571428571428572
105_378,0.7071428571428571,0.7071428571428571
105_352,0.7,0.7
104_289,0.7346153846153846,0.7346153846153846
105_377,,0.5
105_375,0.8214285714285714,0.8214285714285714
104_325,1.0,1.0
104_297,0.9583333333333334,0.9583333333333334
104_295,,0.5
104_299,1.0,1.0
104_300,0.7142857142857143,0.7142857142857143
104_326,0.6428571428571429,0.6428571428571429
104_319,,0.5
104_323,1.0,1.0
104_334,,0.5
105_339,0.7636363636363637,0.7636363636363637
105_341,0.7916666666666667,0.7916666666666667
105_360,0.6863636363636363,0.6863636363636363
105_362,0.7142857142857143,0.7142857142857143
105_374,0.775,0.775
105_382,0.7,0.7
105_385,0.7777777777777778,0.7777777777777778
105_391,0.875,0.875
106_392,0.8,0.8
108_394,0.5571428571428572,0.5571428571428572
109_395,0.7678571428571428,0.7678571428571428
11_21,0.17857142857142858,0.17857142857142858
11_22,0.35714285714285715,0.35714285714285715
110_396,,0.5
110_397,0.43601190476190477,0.43601190476190477
110_398,0.49642857142857144,0.49642857142857144
110_399,0.6585365853658536,0.6585365853658536
110_400,0.675,0.675
110_401,0.5314285714285715,0.5314285714285715
111_402,0.9583333333333334,0.9583333333333334
112_406,0.375,0.375
113_407,0.75,0.75
114_408,0.6875,0.6875
115_409,,0.5
116_411,0.55,0.55
116_412,0.5681818181818181,0.5681818181818181
116_413,0.4955357142857143,0.4955357142857143
116_414,,0.5
116_415,0.6666666666666667,0.6666666666666667
116_416,0.33333333333333337,0.33333333333333337
116_420,0.7058823529411764,0.7058823529411764
116_421,0.37777777777777777,0.37777777777777777
116_424,0.75,0.75
116_425,0.052631578947368474,0.052631578947368474
116_426,0.45614035087719296,0.45614035087719296
116_427,0.4782608695652174,0.4782608695652174
117_429,0.7410714285714286,0.7410714285714286
117_430,0.7947368421052632,0.7947368421052632
118_432,0.7686274509803921,0.7686274509803921
118_434,0.5,0.5
12_23,0.7,0.7
13_24,0.6785714285714286,0.6785714285714286
133_474,,0.5
134_476,,0.5
134_477,0.0,0.0
135_479,,0.5
14_25,1.0,1.0
143_495,0.6190476190476191,0.6190476190476191
145_497,0.6527777777777778,0.6527777777777778
15_26,0.9166666666666666,0.9166666666666666
153_510,0.85,0.85
154_511,1.0,1.0
16_27,0.7871794871794873,0.7871794871794873
160_519,,0.5
167_539,0.625,0.625
167_538,0.625,0.625
168_541,0.7222222222222222,0.7222222222222222
168_542,0.5504807692307692,0.5504807692307692
168_543,0.6987179487179487,0.6987179487179487
169_544,0.7777777777777778,0.7777777777777778
169_545,0.8095238095238095,0.8095238095238095
169_548,0.5892857142857143,0.5892857142857143
169_549,0.8571428571428571,0.8571428571428571
17_28,,0.5
170_550,0.7166666666666667,0.7166666666666667
170_551,0.07142857142857145,0.07142857142857145
174_555,0.7,0.7
175_559,,0.5
175_561,,0.5
177_585,0.6368769077116438,0.6368769077116438
178_591,0.8333333333333334,0.8333333333333334
178_684,0.6244292237442922,0.6244292237442922
179_659,0.6144578313253012,0.6144578313253012
18_29,1.0,1.0
180_686,0.6866310160427808,0.6866310160427808
181_599,0.75,0.75
181_600,,0.5
183_604,0.6611535199321459,0.6611535199321459
184_606,0.7785762032085561,0.7785762032085561
185_665,0.5718298555377207,0.5718298555377207
185_666,0.5490819209039548,0.5490819209039548
185_667,,0.5
186_668,0.7067762830094668,0.7067762830094668
186_669,0.825657894736842,0.825657894736842
187_618,0.31398809523809523,0.31398809523809523
187_619,0.8920454545454546,0.8920454545454546
19_30,0.8541666666666666,0.8541666666666666
190_628,0.4635493372606775,0.4635493372606775
190_629,0.5229591836734694,0.5229591836734694
190_674,0.4043859649122806,0.4043859649122806
191_630,0.4794007490636705,0.4794007490636705
191_631,0.5032649253731344,0.5032649253731344
191_675,0.5013943894389439,0.5013943894389439
192_635,0.9222222222222223,0.9222222222222223
193_723,0.6244747899159664,0.6244747899159664
194_639,0.4956951126867561,0.4956951126867561
194_678,0.5929824561403508,0.5929824561403508
195_642,0.5913363821138211,0.5913363821138211
196_644,0.6158059467918623,0.6158059467918623
197_645,0.42407407407407405,0.42407407407407405
197_646,0.44683544303797473,0.44683544303797473
197_647,0.35,0.35
197_648,0.9047619047619048,0.9047619047619048
197_649,0.5453527435610303,0.5453527435610303
197_650,0.5628092358438703,0.5628092358438703
197_651,0.7507374631268435,0.7507374631268435
198_682,0.7867283559386488,0.7867283559386488
199_657,0.5484848484848486,0.5484848484848486
200_658,,0.5
201_660,0.928734756097561,0.928734756097561
202_661,0.865036231884058,0.865036231884058
203_662,0.44914040114613185,0.44914040114613185
204_663,0.5020119211857512,0.5020119211857512
205_664,0.5941880341880342,0.5941880341880342
206_670,0.5251322751322751,0.5251322751322751
206_671,0.47304937806257064,0.47304937806257064
207_672,0.413655462184874,0.413655462184874
208_673,0.6505102040816325,0.6505102040816325
209_676,0.3755656108597285,0.3755656108597285
21_32,,0.5
210_677,0.5077354874041621,0.5077354874041621
212_680,0.44817927170868344,0.44817927170868344
213_681,0.5328589000175715,0.5328589000175715
214_683,0.5840643274853801,0.5840643274853801
215_685,0.7939274447949527,0.7939274447949527
216_687,0.5408595903165736,0.5408595903165736
217_688,0.6115272195834855,0.6115272195834855
217_689,0.5688829787234043,0.5688829787234043
219_691,0.5016203703703703,0.5016203703703703
220_692,0.5249400479616307,0.5249400479616307
221_693,0.6164742979889545,0.6164742979889545
223_695,0.5890708556149733,0.5890708556149733
224_696,0.5814896248454035,0.5814896248454035
225_697,0.6346899224806202,0.6346899224806202
227_699,0.49186746987951807,0.49186746987951807
228_700,0.5910852713178294,0.5910852713178294
229_701,0.5294962239406684,0.5294962239406684
23_34,0.3333333333333333,0.3333333333333333
230_702,0.5223721590909091,0.5223721590909091
231_703,0.5901289057026762,0.5901289057026762
232_704,0.7117686170212766,0.7117686170212766
232_705,0.6333789329685363,0.6333789329685363
233_706,0.6157121105645351,0.6157121105645351
234_707,0.557742252962806,0.557742252962806
235_708,0.6639171504665555,0.6639171504665555
236_709,0.6699776785714285,0.6699776785714285
237_710,0.657871462264151,0.657871462264151
237_711,0.44451871657754005,0.44451871657754005
238_712,0.5816357807024206,0.5816357807024206
239_713,0.5433772642474575,0.5433772642474575
24_35,0.9545454545454545,0.9545454545454545
240_714,0.6575273640144088,0.6575273640144088
241_715,0.5162658941284896,0.5162658941284896
242_716,0.46434724457642873,0.46434724457642873
243_717,0.4539271695620069,0.4539271695620069
244_718,0.48834165453158584,0.48834165453158584
245_719,0.5337009803921569,0.5337009803921569
246_720,0.6275481838398814,0.6275481838398814
247_721,0.5456052736715941,0.5456052736715941
248_722,0.5043153568564556,0.5043153568564556
249_724,0.5148859605975095,0.5148859605975095
25_36,0.3136363636363636,0.3136363636363636
250_725,0.810767466711075,0.810767466711075
250_726,0.8039399624765478,0.8039399624765478
251_727,0.6560642937448264,0.6560642937448264
253_729,0.6011806130903066,0.6011806130903066
254_730,0.906374501992032,0.906374501992032
257_735,0.5706436420722135,0.5706436420722135
258_736,0.6160394265232974,0.6160394265232974
259_737,0.5613558155540261,0.5613558155540261
26_37,,0.5
260_738,0.563965137718242,0.563965137718242
261_739,0.6043411240261634,0.6043411240261634
262_740,0.6671918767507002,0.6671918767507002
263_741,0.5579027001862198,0.5579027001862198
264_742,0.6625695410292073,0.6625695410292073
265_743,0.5499306803594352,0.5499306803594352
266_744,0.5698357736446379,0.5698357736446379
267_745,0.6493149882903981,0.6493149882903981
268_746,0.5918984861292553,0.5918984861292553
269_747,0.5579441714597697,0.5579441714597697
27_38,0.6111111111111112,0.6111111111111112
27_39,0.6794871794871795,0.6794871794871795
27_40,,0.5
270_748,0.5693057016006543,0.5693057016006543
271_749,0.5040760869565217,0.5040760869565217
272_750,0.4045915760274472,0.4045915760274472
273_751,0.4457264957264957,0.4457264957264957
274_752,0.39879684280375793,0.39879684280375793
275_753,0.838810641627543,0.838810641627543
275_754,0.5504795171124797,0.5504795171124797
276_755,0.42848766300778685,0.42848766300778685
277_756,0.6110716400236826,0.6110716400236826
278_757,0.5239859762675296,0.5239859762675296
279_758,0.45890168290522587,0.45890168290522587
280_759,0.6859941368674993,0.6859941368674993
281_760,0.467741935483871,0.467741935483871
283_762,0.5578947368421053,0.5578947368421053
29_43,,0.5
3_3,0.9083333333333333,0.9083333333333333
37_69,0.7708333333333334,0.7708333333333334
37_70,0.3125,0.3125
37_74,0.75,0.75
37_77,,0.5
40_95,0.7777777777777778,0.7777777777777778
40_96,0.4513888888888889,0.4513888888888889
42_103,,0.5
42_104,,0.5
44_106,,0.5
46_120,1.0,1.0
49_149,,0.5
5_5,0.537037037037037,0.537037037037037
50_154,,0.5
53_178,0.5625,0.5625
54_179,,0.5
54_182,,0.5
6_7,,0.5
7_10,,0.5
7_11,0.5625,0.5625
70_211,0.0714285714285714,0.0714285714285714
71_212,0.45714285714285713,0.45714285714285713
71_213,0.5166666666666666,0.5166666666666666
76_230,,0.5
78_237,,0.5
8_12,0.625,0.625
8_13,0.75,0.75
80_239,0.5727272727272728,0.5727272727272728
81_241,,0.5
82_242,0.8041666666666667,0.8041666666666667
82_243,0.6428571428571428,0.6428571428571428
